,Car,Colour,Price,Links
0,,,,
1,2019 Toyota Highlander,Black,"$50,995",https://www.carpages.ca/used-cars/ontario/belleville/2019-toyota-highlander-8478117/
2,2020 Ford Escape,Blue,"$42,495",https://www.carpages.ca/used-cars/ontario/belleville/2020-ford-escape-8477988/
3,2018 Chevrolet Volt,Grey,"$33,495",https://www.carpages.ca/used-cars/ontario/belleville/2018-chevrolet-volt-8477937/
4,2017 Ford C-MAX,White,"$21,495",https://www.carpages.ca/used-cars/ontario/belleville/2017-ford-c-max-8477913/
5,2020 Toyota Camry,White,"$35,900",https://www.carpages.ca/used-cars/ontario/brampton/2020-toyota-camry-8477391/
6,2019 Tesla Model 3,White,"$56,900",https://www.carpages.ca/used-cars/ontario/ottawa/2019-tesla-model-3-8476545/
7,2022 Volvo XC60,Crystal White,"$70,720",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-volvo-xc60-8476530/
8,2022 Toyota Corolla,01F7 CLASSIC SILVER METALLIC,"$25,250",https://www.carpages.ca/new-cars/nova-scotia/port-hawkesbury/2022-toyota-corolla-8476302/
9,2022 Jeep Grand Wagoneer,White,"$101,875",https://www.carpages.ca/new-cars/ontario/thornhill/2022-jeep-grand-wagoneer-8475810/
10,2022 Ford F-150,Oxford White,"$52,800",https://www.carpages.ca/new-cars/ontario/peterborough/2022-ford-f-150-8475360/
11,2022 Ford F-150,Oxford White,"$52,800",https://www.carpages.ca/new-cars/ontario/peterborough/2022-ford-f-150-8475357/
12,2022 Audi Q5,Manhattan Gray Metallic,"$60,644",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-q5-8475288/
13,2022 Audi Q5,Daytona Gray Pearl,"$72,794",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-q5-8475285/
14,2022 Ford Escape,Agate Black Metallic,"$46,554",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-ford-escape-8474307/
15,2022 Ford Escape,Agate Black Metallic,"$44,704",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-ford-escape-8474304/
16,2022 Ford Escape,STAR WHITE METALLIC TRI-COAT,"$47,104",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-ford-escape-8474298/
17,2022 Ford Escape,Carbonized Grey Metallic,"$46,554",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-ford-escape-8474295/
18,2021 Ford F-150,Black,"$86,975",https://www.carpages.ca/used-cars/ontario/midland/2021-ford-f-150-8473920/
19,2022 Land Rover Range Rover,,"$148,778",https://www.carpages.ca/new-cars/alberta/edmonton/2022-land-rover-range-rover-8472714/
20,2022 Ford Mustang MACH-E,White,"$88,090",https://www.carpages.ca/new-cars/alberta/edmonton/2022-ford-mustang-mach-e-8472681/
21,2022 Toyota Sienna,Grey,"$49,177",https://www.carpages.ca/new-cars/ontario/ancaster/2022-toyota-sienna-8472537/
22,2022 Ford F-150,Stone Grey,"$81,955",https://www.carpages.ca/new-cars/british-columbia/salmon-arm/2022-ford-f-150-8472342/
23,2015 Dodge Grand Caravan,Black,"$18,500",https://www.carpages.ca/used-cars/british-columbia/port-moody/2015-dodge-grand-caravan-8472144/
