,Links,Title,Details,Price,Rating
0,,,,,
1,https://www.airbnb.co.in/rooms/33000655?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=ba8895a8-276a-460a-afde-8e9d01a59112,Vintage Studio under the Mango Tree,"3 guests, 1 bedroom, 1 bed, 1 shared bathroom, Wifi, Pool","₹7,615",4.42
2,https://www.airbnb.co.in/rooms/549387797494551181?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=ba8895a8-276a-460a-afde-8e9d01a59112,Private Standard Queen Room Near HNL Airport,"2 guests, 1 bedroom, 1 bed, 1 private bathroom, Wifi, Pool, Air conditioning","₹8,776",4.38
3,https://www.airbnb.co.in/rooms/50194999?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=ba8895a8-276a-460a-afde-8e9d01a59112,Secluded Oasis in Waikiki. W/ Pool bbq area & Gym.,"4 guests, Studio, 2 beds, 1 bathroom, Kitchen, Wifi, Pool, Air conditioning","₹10,610",4.49
4,https://www.airbnb.co.in/rooms/54085881?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=ba8895a8-276a-460a-afde-8e9d01a59112,"Hawaiian Monarch Studio / Kitchenette, Pool, BBQ","2 guests, Studio, 1 bed, 1 bathroom, Kitchen, Wifi, Pool, Air conditioning","₹7,355",4.33
5,https://www.airbnb.co.in/rooms/53264929?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=ba8895a8-276a-460a-afde-8e9d01a59112,Eight Thousand Waves,"2 guests, Studio, 1 bed, 1 bathroom, Kitchen, Wifi, Air conditioning","₹14,095",5.0
6,https://www.airbnb.co.in/rooms/50894053?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=ba8895a8-276a-460a-afde-8e9d01a59112,PM12-Walk to Waikiki beach @PacificMonarchHotel,"4 guests, Studio, 2 beds, 1 bathroom, Wifi, Pool, Air conditioning","₹9,474",4.19
7,https://www.airbnb.co.in/rooms/43237326?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=ba8895a8-276a-460a-afde-8e9d01a59112,Waikiki Partial Ocean Kitchenette w/ 1 Queen Bed,"2 guests, 1 bedroom, 2 beds, 1 private bathroom, Kitchen, Wifi, Pool, Air conditioning","₹12,108",4.42
8,https://www.airbnb.co.in/rooms/52585873?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=ba8895a8-276a-460a-afde-8e9d01a59112,1 BEDROOM/ 1 BATH/ FULL KITHCHEN FREE PARKING,"2 guests, 1 bedroom, 1 bed, 1 bathroom, Kitchen, Wifi, Pool, Air conditioning","₹16,345",5.0
9,https://www.airbnb.co.in/rooms/51047053?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=ba8895a8-276a-460a-afde-8e9d01a59112,Great Rate! Tiled Studio close to Beach & Shops,"2 guests, Studio, 1 bed, 1 bathroom, Wifi, Air conditioning","₹9,648",4.57
